AdjustedCutPartLength,AdjustedCutPartWidth,Barcode,BasePoint,BasePointX,BasePointY,BasePointZ,Code,CodeFormula,Comments,Comments1,Comments2,Comments3,CutPartLength,CutPartWidth,DontIncludeRoutesinNestBorder,DrawToken2DElv,DrawToken3D,DXFFileName,EdgeNameBottom,EdgeNameBottomWMF,EdgeNameLeft,EdgeNameLeftWMF,EdgeNameRight,EdgeNameRightWMF,EdgeNameTop,EdgeNameTopWMF,EdgeSequence,Face6Barcode,Face6FileName,FileName,FinishPriority,FullFace6FileName,FullFileName,Grain,GrainFormula,HandlingCode,HandlingCodeFormula,HatchType,HboreBarcodeLeft,HboreBarcodeLower,HboreBarcodeRight,HboreBarcodeUpper,HboreFileNameLeft,HboreFileNameLower,HboreFileNameRight,HboreFileNameUpper,Index,InventoryAvailableQty,InventoryCurrentQty,InventoryMinQty,IrregularShape,IsFormulaMaterial,JPegStream,LabelPosition,Length,LinkID,LinkIDBottomFaceRendering,LinkIDCategory,LinkIDCoreRendering,LinkIDDefaultVendor,LinkIDEQPart,LinkIDMaterial,LinkIDParentSubAssembly,LinkIDProcessingStations,LinkIDProduct,LinkIDProject,LinkIDSheetSize,LinkIDSubAssembly,LinkIDTopFaceRendering,LinkIDVendor,LinkIDWorkOrder,Location1,Location2,MachinePoint,MarkUp,MarkUpFormula,MaterialCode,MaterialComments,MaterialCommentsFormula,MaterialFlipSetting,MaterialLaborValue,MaterialLaborValueFormula,MaterialName,MaterialThickness,MaterialType,MaterialXData1,MaterialXData1Formula,MaterialXData2,MaterialXData2Formula,MaterialXData3,MaterialXData3Formula,Modified,Name,OverProductionQuantity,OverridePartCutLength,OverridePartCutThickness,OverridePartCutWidth,Par1,Par2,Par3,PartType,PerfectGrainCaption,PrintFlag,Quantity,Region,RotationX,RotationY,RotationZ,Row_ID,RunFieldNameFace5,RunFieldNameFace6,ScanCode,SkipSpreadsheetSync,Thickness,TiffStream,TotalQuantity,Type,UDID,UnderProductionQuantity,UnitType,VendorCost,WasteFactor,WasteFactorFormula,Width,WMFName,WMFNameFace6,WMFStream,WMFStreamDimensioned,WMFStreamFace6,WMFStreamFace6Dimensioned,XD01,XD02,XD03,XD04,XD05,XD06,XD07,XD08,XD09,XD10,XD11,XD12,XD13,XD14,XD15,XD16,XD17,XD18,ID,
16.25,4,NULL,1,40.2,-20.75,0,,NULL,S,S,,,16.25,4,False,,,,,,,,,,,,,,W307H6BF,W307H6BE,,,NULL,1,NULL,,NULL,0,NULL,NULL,NULL,NULL,8307H6BG,8307H6BJ,8307H6BI,8307H6BH,7,0,0,0,,False,NULL,,16.25,238VOQ8D38KG4,,,,,,21CRJOH0C2I10,,e5086a07-05ce-4ada-bda6-bedbdc9fc88b|8109416f-bff8-4f7a-b97b-4393f36af508|0816ab46-ad71-4fe2-804b-c804120d3a7f,238IJQRNTWEF,187JIQKMR2Y8,,,,,238VOPSEPRUE,,,4,0,NULL,,,NULL,0,0,,( 3_4 ) WT - Alder Select,0.74,2,National Wood Products,,,,,,True,Build Up Material Middle,,0,0,0,DRAW2DBOX CABINET,DRAW2DBOX CABINET,DRAW2DBOX CABINET,1,,False,1,0,0,0,90,4,,,,False,0,NULL,1,0,,,1,0,0,NULL,4,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,11826b78-2ec2-4c66-b3b2-06af22c19f5b
34.5,25.5,NULL,4,0,0,0,,NULL,L,L,,,34.5,25.5,False,,,,,,,,,,,,,,W7H6A901,W7H6A801,,,NULL,1,NULL,,NULL,0,NULL,NULL,NULL,NULL,07H6AA01,07H6AD01,07H6AC01,07H6AB01,0,0,0,0,,False,NULL,,34.5,238VOQ8G6SDF1,,,,,,21CRJOH0C2I10,,e5086a07-05ce-4ada-bda6-bedbdc9fc88b|8109416f-bff8-4f7a-b97b-4393f36af508|0816ab46-ad71-4fe2-804b-c804120d3a7f,238IJQL6DS3F,187JIQKMR2Y8,,238VOQ8G6SDF,,,238VOPSEPRUE,,,1,0,NULL,,,NULL,0,0,,( 3_4 ) WT - Alder Select,0.74,2,National Wood Products,,,,,,True,L-Panel Return Panel Left,,0,0,0,,,,1,,False,1,0,0,-90,0,13,,,,False,0,NULL,1,0,,,1,0,0,NULL,25.5,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,91430897-5af4-402f-948b-06af22c21c8b
34.5,6,NULL,4,0,-25.5,0,,NULL,L R,L R,,,34.5,6,False,,,,,,,,,,,,,,W7H6A905,W7H6A805,,,NULL,1,NULL,,NULL,0,NULL,NULL,NULL,NULL,07H6AA05,07H6AD05,07H6AC05,07H6AB05,1,0,0,0,,False,NULL,,34.5,238VOQ8G6SDF5,,,,,,21CRJ1MN55T10,,8109416f-bff8-4f7a-b97b-4393f36af508,238IJQL6DS3F,187JIQKMR2Y8,,238VOQ8G6SDF,,,238VOPSEPRUE,,,8,0,NULL,,,NULL,0,0,,( 4 QTR Lumber ) - Alder - Select,0.75,3,National Wood Products,,,,,,True,L-Panel Hardwood Nosing,,0,0,0,,,,1,,False,1,0,0,-90,90,12,,,,False,0.75,NULL,1,0,,,9,0,0,NULL,6,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,3e1b7284-1e19-4cb7-a295-06af22c21d8b
96,3,NULL,4,0,0,0,,NULL,L,L,,,96,3,False,,,,,,,,,,,,,,W6K78F01,W6K78E01,,,NULL,1,NULL,,NULL,0,NULL,NULL,NULL,NULL,06K78G01,06K78J01,06K78I01,06K78H01,0,0,0,0,,False,NULL,,96,238VOQ8IDV9F1,,,,,,21CRJOH0C2I10,,e5086a07-05ce-4ada-bda6-bedbdc9fc88b|8109416f-bff8-4f7a-b97b-4393f36af508|0816ab46-ad71-4fe2-804b-c804120d3a7f,231CK7449HXF,187JIQKMR2Y8,,238VOQ8IDV9F,,,238VOPSEPRUE,,,1,0,NULL,,,NULL,0,0,,( 3_4 ) WT - Alder Select,0.74,2,National Wood Products,,,,,,True,Subcrown Return,,0,0,0,,,,1,,False,1,0,180,0,180,16,,,,False,0,NULL,1,0,,,1,0,0,NULL,3,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,33d0791d-29ab-436f-9b37-06af22c28e11
96,3.1875,NULL,4,0,-3,0,,NULL,L,L,,,96,3.1875,False,,,,,,,,,,,,,,W6K78F05,W6K78E05,,,NULL,1,NULL,,NULL,0,NULL,NULL,NULL,NULL,06K78G05,06K78J05,06K78I05,06K78H05,1,0,0,0,,False,NULL,,96,238VOQ8IDV9F5,,,,,,21CRJOH0C2I10,,e5086a07-05ce-4ada-bda6-bedbdc9fc88b|8109416f-bff8-4f7a-b97b-4393f36af508|0816ab46-ad71-4fe2-804b-c804120d3a7f,231CK7449HXF,187JIQKMR2Y8,,238VOQ8IDV9F,,,238VOPSEPRUE,,,8,0,NULL,,,NULL,0,0,,( 3_4 ) WT - Alder Select,0.74,2,National Wood Products,,,,,,True,Subcrown Face [NoDraw],,0,0,0,,,,1,,False,1,0,-90,0,180,15,,,,False,0,NULL,1,0,,,1,0,0,NULL,3.1875,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,6e5d91eb-85fc-4d37-8295-06af22c28f92
96,1.5,NULL,4,0,-3,0,,NULL,,,,,96,1.5,False,,,,,,,,,,,,,,W6K78F0U,W6K78E0U,,,NULL,0,NULL,,NULL,0,NULL,NULL,NULL,NULL,06K78G0U,06K78J0U,06K78I0U,06K78H0U,2,0,0,0,,False,NULL,,96,238VOQ8IDV9F30,,,,,,187VIK71BC9Y,,8109416f-bff8-4f7a-b97b-4393f36af508,231CK7449HXF,187JIQKMR2Y8,,238VOQ8IDV9F,,,238VOPSEPRUE,,,8,0,NULL,,Use this on parts that need to be processed but nothing else.,NULL,1,0,,Drawing Only,0.75,3,,,,,,,True,Subcrown Face Drawing,,0,0,0,,,,1,,False,1,0,-90,0,180,14,,,,False,0.75,NULL,1,0,,,4,0,0,NULL,1.5,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,60044c8b-bb24-404d-9def-06af22c29291
48,25.5,NULL,4,0,0,0,,NULL,L,L,,,48,25.5,False,,,,,,,,,,,,,,W6K77901,W6K77801,,,NULL,1,NULL,,NULL,0,NULL,NULL,NULL,NULL,06K77A01,06K77D01,06K77C01,06K77B01,0,0,0,0,,False,NULL,,48,238VOQ8LL00F1,,,,,,21CRJOH0C2I10,,e5086a07-05ce-4ada-bda6-bedbdc9fc88b|8109416f-bff8-4f7a-b97b-4393f36af508|0816ab46-ad71-4fe2-804b-c804120d3a7f,231CK79J862F,187JIQKMR2Y8,,238VOQ8LL00F,,,238VOPSEPRUE,,,1,0,NULL,,,NULL,0,0,,( 3_4 ) WT - Alder Select,0.74,2,National Wood Products,,,,,,True,Box Filler Return Panel Left,,0,0,0,,,,1,,False,1,0,0,-90,0,20,,,,False,0,NULL,1,0,,,1,0,0,NULL,25.5,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,ee75eb27-361a-4f55-b361-06af22c32383
48,5,NULL,4,0,-25.5,0,,NULL,L R,L R,,,48,5,False,,,,,,,,,,,,,,W6K77905,W6K77805,,,NULL,1,NULL,,NULL,0,NULL,NULL,NULL,NULL,06K77A05,06K77D05,06K77C05,06K77B05,1,0,0,0,,False,NULL,,48,238VOQ8LL00F5,,,,,,21CRJ1MN55T10,,8109416f-bff8-4f7a-b97b-4393f36af508,231CK79J862F,187JIQKMR2Y8,,238VOQ8LL00F,,,238VOPSEPRUE,,,8,0,NULL,,,NULL,0,0,,( 4 QTR Lumber ) - Alder - Select,0.75,3,National Wood Products,,,,,,True,Box Filler Hardwood Nosing,,0,0,0,,,,1,,False,1,0,0,-90,90,19,,,,False,0.75,NULL,1,0,,,9,0,0,NULL,5,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,32e77fd8-9ef9-4447-bb6e-06af22c32503
48,25.5,NULL,3,4.25,-25.5,0,,NULL,,,,,48,25.5,False,,,,,,,,,,,,,,W307JERX,W307JERW,,,NULL,0,NULL,,NULL,0,NULL,NULL,NULL,NULL,8307JERY,8307JES1,8307JES0,8307JERZ,2,0,0,0,,False,NULL,,48,238VOQ8NOM8F51,,,,,,187VIK71BC9Y,238VOQ8LL00F,8109416f-bff8-4f7a-b97b-4393f36af508,231CK79J862F,187JIQKMR2Y8,,238VOQ8NOM8F,,,238VOPSEPRUE,,,3M,0,NULL,,Use this on parts that need to be processed but nothing else.,NULL,1,0,,Drawing Only,0.75,3,,,,,,,True,Single Panel,,0,0,0,,,,1,,False,1,0,0,-90,180,18,,,,False,0,NULL,1,0,,,4,0,0,NULL,25.5,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,9b6b4f9d-29f4-446b-93be-06af22c3899d
48,25.5,NULL,1,-21.25,-29.75,0,,NULL,,,,,48,25.5,False,,,,,,,,,,,,,,W307JES3,W307JES2,,,NULL,0,NULL,,NULL,0,NULL,NULL,NULL,NULL,8307JES4,8307JES7,8307JES6,8307JES5,3,0,0,0,,False,NULL,,48,238VOQ8NOM8F77,,,,,,50051dd1-cc0d-446a-94fa-40261ecd0ff3,238VOQ8LL00F,8109416f-bff8-4f7a-b97b-4393f36af508,231CK79J862F,187JIQKMR2Y8,,238VOQ8NOM8F,,,238VOPSEPRUE,,,8,0,NULL,,,NULL,0,0,,Bywater Door,0.8125,3,,,,,,,True,RPE - Buyout,,0,0,0,,,,1,,False,1,0,0,0,0,17,,,,False,0.75,NULL,1,0,,,2,0,0,NULL,25.5,,,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,d9bc2a17-c1bc-449e-8807-06af22c3939e
