ActivityPath,ActivityPathShort,Angle,BayPosition,Comments,Comments1,Comments2,Comments3,ContainsSubassemblies,Depth,DrawIndex,Height,IsBuyOut,JPegName,JPegStream,LinkID,LinkIDCategory,LinkIDLibrary,LinkIDParentProduct,LinkIDParentSubassembly,LinkIDProject,LinkIDWorkOrder,Modified,ModifiedRowID,Name,PerfectGrainCaption,Quantity,ScanCode,TiffName,TiffStream,Type,Width,WMFName,WMFStream,WorkBook,X,Y,Z,ID,
,,0,79,Bottom Opening,Bottom Opening,,,False,25.11,0,38.8525,False,,NULL,238VOQ9F038F,,1789K4YE0R87,238VOPPADW0F,,187JIQKMR2Y8,238VOPSEPRUE,False,0,Adjustable and Fixed Shelves,,1,,,NULL,5,16.47,,NULL,NULL,0.765,-26,4.765,3a6fe844-46ab-49cd-95dc-06af22c8ad7c
,,0,0,,,,,False,22.25,0,4,False,,NULL,238VOQ9G3VUF,,1789K4YE0R87,238VOPPADW0F,,187JIQKMR2Y8,238VOPSEPRUE,False,0,Base Assembly,,1,,,NULL,5,16.47,,NULL,NULL,0.765,0,0,426366ab-02fe-47a1-9606-06af22c9037b
,,0,71,,,,,True,0,0,38.8525,False,,NULL,238VOQ9H7BRF,,1789K4YE0R87,238VOPPADW0F,,187JIQKMR2Y8,238VOPSEPRUE,False,0,Upper Single Door,,1,,,NULL,5,16.47,,NULL,NULL,0.765,-26,44.3825,1f05e1d3-f5f8-4e13-a01d-06af22c94e3d
,,0,79,,,,,True,0,0,38.8525,False,,NULL,238VOQ9LEIAF,,1789K4YE0R87,238VOPPADW0F,,187JIQKMR2Y8,238VOPSEPRUE,False,0,Base Single Door,,1,,,NULL,5,16.47,,NULL,NULL,0.765,-26,4.765,82f23c0f-2b53-4973-9845-06af22c9e63d
,,0,0,,,,,False,25.11,0,78.47,False,,NULL,238VOQ9PLOPF,,1789K4YE0R87,238VOPPADW0F,,187JIQKMR2Y8,238VOPSEPRUE,False,0,Hardware Items,,1,,,NULL,5,16.47,,NULL,NULL,0.765,-26,4.765,baa47f36-4d80-4bac-8f12-06af22caa73d
,,0,0,2DOORV:1,2DOORV:1,,,False,0.75,0,39.9375,False,,NULL,238VOQ9JAN1F,,1789K4YE0R87,238VOPPADW0F,238VOQ9H7BRF,187JIQKMR2Y8,238VOPSEPRUE,False,0,Door Single,,1,,,NULL,5,17.875,,NULL,NULL,-0.7025,-0.125,-0.32,8dbb5d45-5e9f-4fe3-8438-06af22c974bc
,,0,0,2DOORV:2,2DOORV:2,,,False,0.75,0,39.9375,False,,NULL,238VOQ9NHTGF,,1789K4YE0R87,238VOPPADW0F,238VOQ9LEIAF,187JIQKMR2Y8,238VOPSEPRUE,False,0,Door Single,,1,,,NULL,5,17.875,,NULL,NULL,-0.7025,-0.125,-0.765,c68ce193-16b2-494a-9d99-06af22ca35bc
,,0,0,,,,,True,5,0,34.5,False,,NULL,238VOQ9RSL4F,,1789K4YE0R87,238VMH164Z5F,,187JIQKMR2Y8,238VOPSEPRUE,False,0,Lock Miter Item,,1,,,NULL,5,45,,NULL,NULL,0,0,0,b40324b9-515e-4bb8-afed-06af22cb2b3d
,,270,101,Left RPE / Wainscot,Left RPE / Wainscot,,,False,0.75,0,34.5,False,,NULL,238VOQ9TW6LF,,1789K4YE0R87,238VMH164Z5F,238VOQ9RSL4F,187JIQKMR2Y8,238VOPSEPRUE,False,0,RPE Wainscot,,1,,,NULL,5,45,,NULL,NULL,0.75,0,0,76b9df25-08ec-4154-a509-06af22cb85fc
,,0,0,,,,,False,24,0,34.5,False,,NULL,238VOQ9Y3YGF,,1789K4YE0R87,238IN5IF9KNF,,187JIQKMR2Y8,238VOPSEPRUE,False,0,Carcass Base,,1,,,NULL,5,18,,NULL,NULL,0,0,0,dc742124-5008-4b80-9d9d-06af22cc7eb3
